record_id,company_name,uscc_or_entity_id,source_type,source_platform,source_url,source_title,published_at,captured_at,city,job_title,evidence_quote,evidence_summary,screenshot_path,collector,verification_status,risk_level,boycott_recommended,notes
job-20260406-012,中国人寿大厦,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/03a7a0175fefcde603V62Nq0EldZ.html,hr助理招聘 - BOSS直聘,,2026-04-06,杭州,hr助理,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-013,中国人寿临平支公司,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/d94b727babf7a6bf1HN429-8FFdY.html,人事专员+周末双休（不加班）招聘 - BOSS直聘,,2026-04-06,杭州,人事专员+周末双休（不加班）,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-014,中国人寿,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/4c1b1e43dbf4efdf1XN539q0ElFQ.html,行政招聘 周末双休，待遇好招聘 - BOSS直聘,,2026-04-06,杭州,行政招聘 周末双休，待遇好,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-015,中国人寿保险,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/06163030b53dfa211HN639u_EFJV.html,文员双休 朝九晚五招聘 - BOSS直聘,,2026-04-06,杭州,文员双休 朝九晚五,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-019,星船时代,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/d94949b16ea81d6403F-2d-5FFpS.html,团播主播（提供住宿）接受小白招聘 - BOSS直聘,,2026-04-06,杭州,团播主播（提供住宿）接受小白,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-020,杭州北极未来科技,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/0c74ad01804a88e703x43dy-EVFR.html,DB黛比系团播主播纳新（无责保底可小白）招聘 - BOSS直聘,,2026-04-06,杭州,DB黛比系团播主播纳新（无责保底可小白）,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-021,福州亿游星动文化传媒,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/89b3efb01851c7e41H1_0921FVVY.html,游戏主播招聘 - BOSS直聘,,2026-04-06,杭州,游戏主播,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-023,杭州苏江传媒有限公司,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/bb50abce6802fff803d529-0E1ZW.html,苏江传媒 娱乐主播-造星计划 小白/包住宿招聘 - BOSS直聘,,2026-04-06,杭州,苏江传媒 娱乐主播-造星计划 小白/包住宿,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-024,浙江无忧娱乐有限公司,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/6197eaf05c77ae3103J_09y5E1pQ.html,个人IP孵化，打造你的个人账号招聘 - BOSS直聘,,2026-04-06,杭州,个人IP孵化，打造你的个人账号,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-025,汉固达网络,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/288f144fa4e58d6803Z93Nq-FFdX.html,主播招聘 - BOSS直聘,,2026-04-06,杭州,主播,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
