record_id,company_name,uscc_or_entity_id,source_type,source_platform,source_url,source_title,published_at,captured_at,city,job_title,evidence_quote,evidence_summary,screenshot_path,collector,verification_status,risk_level,boycott_recommended,notes
job-20260406-001,上海梁生实业有限公司,,jobsite,猎聘,https://www.liepin.com/job/1940398599.shtml,仓库打包员招聘,,2026-04-06,苏州,仓库打包员,要求35岁以下,职位描述出现明确年龄上限，存在年龄筛选线索,,codex,pending,medium,false,来自搜索快照，需人工二次打开页面核验
job-20260406-002,北京森鳞艺术文化有限公司,,jobsite,猎聘,https://www.liepin.com/job/1957286581.shtml,手工工艺品艺术品招聘,,2026-04-06,北京,手工工艺品艺术品,年龄35岁以下，全职,职位介绍含年龄上限表述,,codex,pending,medium,false,已可打开页面并看到职位原文
job-20260406-003,北京博达泓翼公关策划有限公司,,jobsite,猎聘,https://www.liepin.com/job/1939112543.shtml,制作部高级经理招聘,,2026-04-06,北京,制作部高级经理,35岁以下,任职要求含年龄上限表述,,codex,pending,medium,false,来自搜索快照，需人工二次打开页面核验
job-20260406-004,广东碳语新材料有限公司,,jobsite,猎聘,https://www.liepin.com/job/1955579083.shtml,材料研发工程师（博士）招聘,,2026-04-06,珠海,材料研发工程师（博士）,年龄35岁以下，全日制博士,任职要求含年龄上限表述,,codex,pending,medium,false,来自搜索快照，需人工二次打开页面核验
job-20260406-005,春光线缆有限公司,,jobsite,猎聘,https://www.liepin.com/job/1966614409.shtml,生产质检监察员招聘,,2026-04-06,九江,生产质检监察员,35岁以下，大专及以上学历,职位要求含年龄上限表述,,codex,pending,medium,false,来自搜索快照，需人工二次打开页面核验
job-20260406-006,永安财产保险股份有限公司,,jobsite,猎聘,https://www.liepin.com/job/1974110211.shtml,非车险定价岗招聘,,2026-04-06,西安,非车险定价岗,年龄35周岁以下（条件优秀者可放宽）,职位要求包含年龄门槛描述,,codex,pending,medium,false,来自搜索快照，需人工二次打开页面核验
job-20260406-001,中国人寿第一营销部,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/f1d3590f921f140103Z539u-GVNQ.html,养老售后（央企双休）招聘 - BOSS直聘,,2026-04-06,杭州,养老售后（央企双休）,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-004,我爱我家集团,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/f5867dd49d65f07e1Hxz09y_FltS.html,我爱我家招聘店员/营业员招聘 - BOSS直聘,,2026-04-06,杭州,我爱我家招聘店员/营业员,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-005,中国人寿杭州市分公司,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/2135dded9c330c8d03J-2NS0EFRZ.html,央企（双休）销售专员（接受小白）招聘 - BOSS直聘,,2026-04-06,杭州,央企（双休）销售专员（接受小白）,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
job-20260406-010,中国人寿余杭支公司,,jobsite,BOSS直聘,https://www.zhipin.com/job_detail/48882be23adb9d6d03F80ty1EVdV.html,人事行政专员招聘 - BOSS直聘,,2026-04-06,杭州,人事行政专员,,未自动抽取到年龄表述，需人工复核页面。,,hangzhou-boss-list,pending,medium,false,raw-list-candidate; backend-review-needed
